epoch,stage,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,head,1.9228371279580252,25.0,1.6068636576334636,20.0,0.001
2,head,1.6383384943008423,23.214285714285715,1.5046270158555772,32.857142857142854,0.001
3,head,1.5629662786211287,28.928571428571427,1.5035187668270535,28.571428571428573,0.001
4,head,1.5661637680871145,27.857142857142858,1.504989915423923,40.0,0.001
5,head,1.498960144179208,29.642857142857142,1.4476347896787856,44.285714285714285,0.001
6,layer4,1.512618088722229,29.642857142857142,1.3670350048277113,47.142857142857146,0.0001
8,layer4,1.526311925479344,29.285714285714285,1.3466551568773057,50.0,0.0001
10,layer4,1.4588335514068604,31.785714285714285,1.3767979145050049,42.857142857142854,0.0001
12,layer4,1.4510957649775913,35.0,1.264251920912001,54.285714285714285,0.0001
14,layer4,1.3607695852007184,37.5,1.3292678727044,45.714285714285715,0.0001
11,deep,1.317445751598903,40.0,1.1899389227231343,48.57142857142857,1e-05
13,deep,1.3123700397355216,41.42857142857143,1.143913937939538,61.42857142857143,1e-05
15,deep,1.2934530326298306,44.642857142857146,1.1488548583454556,60.0,1e-05
17,deep,1.266811067717416,45.714285714285715,1.159114850891961,57.142857142857146,1e-05
19,deep,1.2589884264128548,44.642857142857146,1.1633462574746873,50.0,1e-05
