epoch,stage,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,head,1.658647950659407,26.861702127659573,1.6373820503552754,14.893617021276595,0.001
2,head,1.602306383721372,25.53191489361702,1.6443236470222473,18.085106382978722,0.001
3,head,1.5871830950392054,26.06382978723404,1.61798162261645,15.957446808510639,0.001
4,head,1.5604855177250314,28.72340425531915,1.7849806050459545,19.148936170212767,0.001
5,head,1.5796403326886765,28.98936170212766,1.6824810802936554,23.404255319148938,0.001
6,features_end,1.577757051650514,29.52127659574468,1.6743351022402446,24.46808510638298,0.0001
8,features_end,1.5804523001325892,29.25531914893617,1.6486246486504872,22.340425531914892,0.0001
10,features_end,1.5804766239003931,31.914893617021278,1.6439347167809804,22.340425531914892,0.0001
12,features_end,1.5668340084400583,29.78723404255319,1.6731457312901814,20.21276595744681,0.0001
14,features_end,1.5667081817667534,28.98936170212766,1.6775061388810475,24.46808510638298,5e-05
11,deep,1.5613159169542028,28.72340425531915,1.6608679393927257,24.46808510638298,1e-05
13,deep,1.554713672779976,30.0531914893617,1.6495089828968048,22.340425531914892,1e-05
15,deep,1.568333164174506,29.78723404255319,1.6547009746233623,24.46808510638298,1e-05
17,deep,1.5401680773877082,31.382978723404257,1.6666866739590962,24.46808510638298,1e-05
19,deep,1.5492011968125687,32.180851063829785,1.6390624741713207,24.46808510638298,5e-06
