epoch,stage,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,head,1.5630566239356996,37.16814159292036,1.4519901871681213,42.857142857142854,0.001
2,head,1.6554807662963866,40.70796460176991,1.456667959690094,42.857142857142854,0.001
3,head,1.4859202980995179,42.47787610619469,1.4175979495048523,42.857142857142854,0.001
4,head,1.5147742668787638,43.36283185840708,1.4097850024700165,42.857142857142854,0.001
5,head,1.5687622944513957,42.47787610619469,1.3794050514698029,42.857142857142854,0.001
6,layer4,1.4817190329233805,45.13274336283186,1.2430691719055176,42.857142857142854,0.0001
8,layer4,1.340508500734965,48.67256637168141,1.092316374182701,42.857142857142854,0.0001
10,layer4,1.1588397701581319,49.557522123893804,0.9893393069505692,60.714285714285715,0.0001
12,layer4,1.0734278162320454,55.75221238938053,0.8432347476482391,60.714285714285715,0.0001
14,layer4,1.1030946373939514,60.176991150442475,0.8229052871465683,71.42857142857143,0.0001
11,deep,1.1130003690719605,57.52212389380531,0.8019908592104912,57.142857142857146,1e-05
13,deep,1.036182940006256,58.4070796460177,0.7701743841171265,67.85714285714286,1e-05
15,deep,1.0777735392252603,54.86725663716814,0.7467438876628876,75.0,1e-05
17,deep,0.9763520201047261,63.716814159292035,0.7276603281497955,82.14285714285714,1e-05
19,deep,1.0243637760480244,60.176991150442475,0.7116409242153168,78.57142857142857,1e-05
