epoch,stage,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,head,1.7631868243217468,13.75,1.6022679408391316,20.0,0.001
2,head,1.6566418170928956,18.75,1.5919257402420044,30.0,0.001
3,head,1.6031800746917724,18.75,1.6001029809315999,20.0,0.001
4,head,1.672150194644928,18.75,1.620207707087199,25.0,0.001
5,head,1.6670993089675903,16.25,1.5940467913945515,20.0,0.001
6,layer4,1.6606094717979432,27.5,1.5461513996124268,20.0,0.0001
8,layer4,1.588657522201538,28.75,1.5183449188868205,20.0,0.0001
10,layer4,1.5297818183898926,36.25,1.4550793965657551,30.0,0.0001
12,layer4,1.5595410823822022,36.25,1.4134639501571655,50.0,0.0001
14,layer4,1.4939944386482238,36.25,1.3460523287455242,55.0,0.0001
11,deep,1.420646107196808,52.5,1.3384534120559692,50.0,1e-05
13,deep,1.4240716099739075,45.0,1.3130513429641724,55.0,1e-05
15,deep,1.3965780138969421,48.75,1.2892880042394002,70.0,1e-05
17,deep,1.411285412311554,46.25,1.2628079255421956,65.0,1e-05
19,deep,1.3740585088729858,52.5,1.2552128632863362,60.0,1e-05
