epoch,stage,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,head,0.874884694814682,43.75,0.737857460975647,25.0,0.001
2,head,0.8206803053617477,37.5,0.6811804175376892,75.0,0.001
3,head,0.6772683709859848,59.375,0.7414062023162842,25.0,0.001
4,head,0.7276930809020996,56.25,0.8325713872909546,25.0,0.001
5,head,0.7169072479009628,56.25,0.8227287530899048,25.0,0.001
6,layer4,0.7578288912773132,56.25,0.8025744557380676,25.0,0.0001
8,layer4,0.7486227750778198,56.25,0.8006027936935425,25.0,0.0001
10,layer4,0.6618519127368927,53.125,0.7485576868057251,25.0,0.0001
12,layer4,0.6199228763580322,59.375,0.6469784379005432,62.5,0.0001
14,layer4,0.5791710913181305,68.75,0.5453212857246399,100.0,0.0001
11,deep,0.6593731939792633,65.625,0.5951287746429443,75.0,1e-05
13,deep,0.5537914857268333,71.875,0.6399130821228027,62.5,1e-05
15,deep,0.5655350387096405,75.0,0.6767270565032959,25.0,1e-05
17,deep,0.5954529345035553,65.625,0.7091943025588989,25.0,1e-05
19,deep,0.5366480425000191,71.875,0.7077089548110962,25.0,5e-06
