epoch,stage,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,head,1.4671623931740814,40.142517814726844,0.8803083981786456,81.9047619047619,0.001
2,head,0.8495600347249013,72.20902612826603,0.46742476735796246,87.61904761904762,0.001
3,head,0.6675200349879715,77.67220902612827,0.42113891882555826,85.71428571428571,0.001
4,head,0.5887758128766744,80.52256532066508,0.29553025109427317,94.28571428571429,0.001
5,head,0.48104493165353557,81.94774346793349,0.184269446347441,97.14285714285714,0.001
6,layer4,0.2531350311946194,91.21140142517815,0.026280526820171093,98.0952380952381,0.0001
8,layer4,0.12107149495760787,95.24940617577197,0.012767647567670792,100.0,0.0001
10,layer4,0.052110105392716405,98.57482185273159,0.00475434977956216,100.0,0.0001
12,layer4,0.07116587933390138,98.57482185273159,0.0051195755212185235,100.0,0.0001
14,layer4,0.0394874481420595,99.04988123515439,0.00305982097571749,100.0,0.0001
11,deep,0.034113454254660405,99.04988123515439,0.001967332651085079,100.0,1e-05
13,deep,0.037207637986010116,99.04988123515439,0.002111090089913757,100.0,1e-05
15,deep,0.02873199463619868,99.2874109263658,0.001967781172684876,100.0,1e-05
17,deep,0.015940016435397754,99.7624703087886,0.0015129806244138827,100.0,1e-05
19,deep,0.0226498580727735,99.04988123515439,0.0018533498311756244,100.0,5e-06
