epoch,stage,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,head,1.349287930727005,44.75,0.7174368225611173,93.0,0.001
2,head,0.8155992394685745,69.25,0.3219794906102694,99.0,0.001
3,head,0.653310683965683,75.5,0.23849966377019882,99.0,0.001
4,head,0.46802981466054916,85.0,0.19731162431148383,91.0,0.001
5,head,0.4317893595993519,84.25,0.11693649366497993,99.0,0.001
6,layer4,0.18699221045710146,94.0,0.012919085234618531,100.0,0.0001
8,layer4,0.11514644020237029,96.0,0.015990787006628055,99.0,0.0001
10,layer4,0.06347069456474856,98.0,0.008995151115903774,100.0,0.0001
12,layer4,0.051735041809733956,98.75,0.002564537341151243,100.0,0.0001
14,layer4,0.048308692715363574,98.25,0.0015383593473905842,100.0,5e-05
11,deep,0.04591232195263729,98.5,0.0021929199104376426,100.0,1e-05
13,deep,0.03197036459809169,98.75,0.0011592773634429949,100.0,1e-05
15,deep,0.025493460594734643,99.25,0.001053663147523856,100.0,1e-05
17,deep,0.027824441994307562,99.5,0.0010581477780271177,100.0,1e-05
19,deep,0.0220811533665983,99.25,0.000872063577564684,100.0,5e-06
