epoch,stage,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,head,1.633868272304535,25.25,1.5713088787519014,25.0,0.001
2,head,1.6256437611579895,25.25,1.562623565013592,19.0,0.001
3,head,1.5627413773536682,29.25,1.51822829246521,42.0,0.001
4,head,1.6218270063400269,22.0,1.5171203429882343,43.0,0.001
5,head,1.575815999507904,27.25,1.5279920559663038,27.0,0.001
6,layer4,1.4511690974235534,34.25,1.256192344885606,59.0,0.0001
8,layer4,1.1491580963134767,55.75,0.839309573173523,74.0,0.0001
10,layer4,0.9156156575679779,65.25,0.5911238950032455,85.0,0.0001
12,layer4,0.7260439586639404,74.25,0.40745200789891756,90.0,0.0001
14,layer4,0.6388519132137298,80.75,0.7452682875669919,73.0,0.0001
11,deep,0.5515346586704254,81.5,0.3085230646225122,94.0,1e-05
13,deep,0.5325012707710266,84.5,0.2530426159501076,98.0,1e-05
15,deep,0.4721719089150429,86.25,0.2676989837334706,97.0,1e-05
17,deep,0.4966475035250187,85.5,0.23878212788930306,99.0,1e-05
19,deep,0.44341194063425066,87.75,0.21918790959394896,98.0,1e-05
